catalyst,Gn(eV),fai1,fai3,I1,Rd-0.07,"Hf,ox(eV)-0.08",TM-N/O-0.13,d band center,MN,mode
ScPy-DC-eNOH,0.201989201,13.52,19,6.562,59.2,-10.45,1.94445,-1.442186466,11,1
TiPy-DC-eNOH,-0.002215028,27.4,19,6.828,52.8,-11.39,1.70353,-1.134927827,43,1
VPy-DC,0.396130713,41.37,19,6.746,47.9,-8.15,1.66014,-0.547013411,46,1
CrPy-DC,0.945555285,69.1,19,6.767,45.5,-6.26,1.7268,-0.294063715,49,1
MnPy-DC,1.084975405,68.55,19,7.434,40.9,-5.49,1.69443,-2.207572701,52,1
FePy-DC,0.806843243,83.94,19,7.903,38.2,-6.45,1.69709,-1.823237604,55,1
CoPy-DC,1.249574515,98.28,19,7.881,35.8,-5.6,1.83198,-1.588359437,58,1
NiPy-DC,1.242138449,112.56,19,7.64,33.8,-4.75,1.89962,-1.888532675,61,1
CuPy-DC,1.13034797,140.6,19,7.727,32.5,-3.26,2.25118,-2.976256711,64,1
ZnPy-DC,1.04310484,138.1,19,9.394,30.4,-2.19,2.16957,-4.785508749,69,1
YPy-DC,0.786543141,13.38,19,6.22,93.9,-10.4,2.14357,-1.073680321,12,1
NbPy-DC,0.463205723,55.04,19,6.759,78.9,-12.07,1.79637,-1.472048032,47,1
MoPy-DC,1.213154957,71.6,19,7.092,72.9,-7.71,1.74123,-0.553807227,50,1
RuPy-DC,0.432676796,100.52,19,7.361,63.9,-6.14,1.81162,-1.54442896,56,1
RhPy-DC,1.183870071,115.52,19,7.459,60.4,-4.87,1.95615,-1.59497822,59,1
PdPy-DC,1.78791937,143.6,19,8.337,58,-2.81,2.23723,-2.583295325,62,1
AgPy-DC,0.854477567,140.9,19,7.576,54.7,-0.9,3.09965,-4.242962971,65,1
HfPy-DC,-0.160922821,26.92,19,6.825,87.6,-13.58,1.85563,-1.514595423,45,1
TaPy-DC,0.546478409,40.98,19,7.89,82,-13.88,1.78629,-1.625942738,48,1
WPy-DC,1.095080327,58.08,19,7.98,77.6,-9.64,1.74654,-1.411471463,51,1
RePy-DC,1.240349854,70.3,19,7.88,73.9,-8.93,1.80365,-1.68728074,54,1
OsPy-DC,0.328096907,86.16,19,8.71,70.6,-6.21,1.82409,-1.418601705,57,1
IrPy-DC,1.297617889,100.52,19,9.12,67.8,-6.51,1.92896,-1.675203732,60,1
ScPy-DN,0.715240625,13.52,12.16,6.562,59.2,-10.45,1.94612,-1.382638994,11,1
TiPy-DN,-0.025213976,27.4,12.16,6.828,52.8,-11.39,1.70555,-0.858823448,43,1
VPy-DN,0.327906411,41.37,12.16,6.746,47.9,-8.15,1.65952,-0.545765114,46,1
CrPy-DN,1.075066351,69.1,12.16,6.767,45.5,-6.26,1.72123,-0.220512748,49,1
MnPy-DN,1.143520971,68.55,12.16,7.434,40.9,-5.49,1.70033,-2.22656827,52,1
FePy-DN,0.744008378,83.94,12.16,7.903,38.2,-6.45,1.702,-1.875276375,55,1
CoPy-DN,1.314546982,98.28,12.16,7.881,35.8,-5.6,1.83423,-1.551759277,58,1
NiPy-DN,1.288521828,112.56,12.16,7.64,33.8,-4.75,1.8897,-1.765829519,61,1
CuPy-DN,1.20273946,140.6,12.16,7.727,32.5,-3.26,2.15333,-2.908018119,64,1
ZnPy-DN,1.119439823,138.1,12.16,9.394,30.4,-2.19,2.21939,-4.569254521,69,1
YPy-DN,0.376754313,13.38,12.16,6.22,93.9,-10.4,2.1427,-0.948440805,12,1
NbPy-DN,0.473450263,55.04,12.16,6.759,78.9,-12.07,1.79425,-0.779425634,47,1
MoPy-DN,1.067582556,71.6,12.16,7.092,72.9,-7.71,1.73937,-0.485935129,50,1
RuPy-DN,0.315114547,100.52,12.16,7.361,63.9,-6.14,1.81557,-1.560646823,56,1
RhPy-DN,1.199070744,115.52,12.16,7.459,60.4,-4.87,1.95426,-1.595209024,59,1
HfPy-DN,-0.110378604,26.92,12.16,6.825,87.6,-13.58,1.86463,-1.637965712,45,1
TaPy-DN,0.614242438,40.98,12.16,7.89,82,-13.88,1.78124,-1.597384079,48,1
WPy-DN,0.813031334,58.08,12.16,7.98,77.6,-9.64,1.7444,-0.678051614,51,1
RePy-DN,1.090456306,70.3,12.16,7.88,73.9,-8.93,1.78953,-1.652204598,54,1
OsPy-DN,0.24958786,86.16,12.16,8.71,70.6,-6.21,1.82926,-1.601531386,57,1
IrPy-DN,1.170962515,100.52,12.16,9.12,67.8,-6.51,1.91481,-1.633145931,60,1
ScPy-DO,0.784928324,13.52,13.76,6.562,59.2,-10.45,1.95601,-1.22202162,11,1
TiPy-DO,0.023376288,27.4,13.76,6.828,52.8,-11.39,1.70605,-0.953202443,43,1
VPy-DO,0.800922716,41.37,13.76,6.746,47.9,-8.15,1.65812,-0.789209126,46,1
CrPy-DO,0.970159407,69.1,13.76,6.767,45.5,-6.26,1.7264,-0.518726323,49,1
