catalyst,Gn(eV),fai1,fai2-0.59,fai3,I1,Rd-0.07,"Hf,ox(eV)-0.08",TM-N/O-0.13,d band center,MN
ScPy-DC-H2O,0.912810304,13.52,7.84,19,6.562,59.2,-10.45,2.16045,-1.442186466,11
ScPy-DC-NH3,-0.121706026,13.52,9.64,19,6.562,59.2,-10.45,2.2426,-1.442186466,11
TiPy-DC-H2O,1.025815213,27.4,7.84,19,6.828,52.8,-11.39,2.11577,-1.134927827,43
TiPy-DC-NH3,-0.039438405,27.4,9.64,19,6.828,52.8,-11.39,2.15,-1.134927827,43
VPy-DC-H2O,0.377841569,41.37,7.84,19,6.746,47.9,-8.15,2.09921,-0.547013411,46
VPy-DC-NH3,-0.373749271,41.37,9.64,19,6.746,47.9,-8.15,2.10757,-0.547013411,46
FePy-DC-H2O,-0.639985755,83.94,7.84,19,7.903,38.2,-6.45,2.26459,-1.823237604,55
FePy-DC-NH3,-0.932171271,83.94,9.64,19,7.903,38.2,-6.45,1.95472,-1.823237604,55
RuPy-DC-H2O,-0.162992054,100.52,7.84,19,7.361,63.9,-6.14,2.12052,-1.54442896,56
RuPy-DC-NH3,-1.06085857,100.52,9.64,19,7.361,63.9,-6.14,2.05757,-1.54442896,56
TaPy-DC-H2O,1.480103345,40.98,7.84,19,7.89,82,-13.88,2.15036,-1.625942738,48
TaPy-DC-NH3,0.479969137,40.98,9.64,19,7.89,82,-13.88,2.2006,-1.625942738,48
WPy-DC-H2O,0.800775128,58.08,7.84,19,7.98,77.6,-9.64,2.13982,-1.411471463,51
WPy-DC-NH3,0.109300297,58.08,9.64,19,7.98,77.6,-9.64,2.14768,-1.411471463,51
RePy-DC-H2O,0.45087809,70.3,7.84,19,7.88,73.9,-8.93,2.56636,-1.68728074,54
RePy-DC-NH3,-0.12531051,70.3,9.64,19,7.88,73.9,-8.93,2.1014,-1.68728074,54
OsPy-DC-H2O,0.244144493,86.16,7.84,19,8.71,70.6,-6.21,2.12148,-1.418601705,57
OsPy-DC-NH3,-0.698695099,86.16,9.64,19,8.71,70.6,-6.21,2.06017,-1.418601705,57
ScPy-DN-H2O,1.040892276,13.52,7.84,12.16,6.562,59.2,-10.45,2.1425,-1.382638994,11
ScPy-DN-NH3,-0.501810131,13.52,9.64,12.16,6.562,59.2,-10.45,2.23093,-1.382638994,11
TiPy-DN-H2O,0.62624937,27.4,7.84,12.16,6.828,52.8,-11.39,2.08777,-0.858823448,43
TiPy-DN-NH3,-0.308203331,27.4,9.64,12.16,6.828,52.8,-11.39,2.13656,-0.858823448,43
VPy-DN-H2O,0.185214179,41.37,7.84,12.16,6.746,47.9,-8.15,2.07793,-0.545765114,46
VPy-DN-NH3,-0.569773631,41.37,9.64,12.16,6.746,47.9,-8.15,2.0985,-0.545765114,46
CrPy-DN-H2O,-0.216348851,69.1,7.84,12.16,6.767,45.5,-6.26,2.28107,-0.220512748,49
CrPy-DN-NH3,-0.62247638,69.1,9.64,12.16,6.767,45.5,-6.26,2.05766,-0.220512748,49
MoPy-DN-H2O,0.206800364,71.6,7.84,12.16,7.092,72.9,-7.71,2.15048,-0.485935129,50
MoPy-DN-NH3,-0.644857335,71.6,9.64,12.16,7.092,72.9,-7.71,2.15542,-0.485935129,50
RuPy-DN-H2O,-0.356445705,100.52,7.84,12.16,7.361,63.9,-6.14,2.13636,-1.560646823,56
RuPy-DN-NH3,-1.228354257,100.52,9.64,12.16,7.361,63.9,-6.14,2.0549,-1.560646823,56
TaPy-DN-H2O,1.106431302,40.98,7.84,12.16,7.89,82,-13.88,2.13514,-1.597384079,48
TaPy-DN-NH3,0.196386045,40.98,9.64,12.16,7.89,82,-13.88,2.19052,-1.597384079,48
WPy-DN-H2O,0.666869524,58.08,7.84,12.16,7.98,77.6,-9.64,2.12157,-0.678051614,51
WPy-DN-NH3,-0.149659561,58.08,9.64,12.16,7.98,77.6,-9.64,2.14287,-0.678051614,51
RePy-DN-H2O,0.379298884,70.3,7.84,12.16,7.88,73.9,-8.93,2.49711,-1.652204598,54
RePy-DN-NH3,-0.341343378,70.3,9.64,12.16,7.88,73.9,-8.93,2.09946,-1.652204598,54
OsPy-DN-H2O,-0.029723684,86.16,7.84,12.16,8.71,70.6,-6.21,2.08913,-1.601531386,57
OsPy-DN-NH3,-0.850697176,86.16,9.64,12.16,8.71,70.6,-6.21,2.05933,-1.601531386,57
ScPy-DO-H2O,0.698475865,13.52,7.84,13.76,6.562,59.2,-10.45,2.16168,-1.22202162,11
ScPy-DO-NH3,-0.432232231,13.52,9.64,13.76,6.562,59.2,-10.45,2.24277,-1.22202162,11
TiPy-DO-H2O,0.919723636,27.4,7.84,13.76,6.828,52.8,-11.39,2.09942,-0.953202443,43
TiPy-DO-NH3,-0.106495167,27.4,9.64,13.76,6.828,52.8,-11.39,2.14554,-0.953202443,43
VPy-DO-H2O,0.509010004,41.37,7.84,13.76,6.746,47.9,-8.15,2.0897,-0.789209126,46
VPy-DO-NH3,-0.361489492,41.37,9.64,13.76,6.746,47.9,-8.15,2.10221,-0.789209126,46
CrPy-DO-H2O,0.046000504,69.1,7.84,13.76,6.767,45.5,-6.26,2.29533,-0.518726323,49
CrPy-DO-NH3,-0.584876037,69.1,9.64,13.76,6.767,45.5,-6.26,2.10916,-0.518726323,49
MoPy-DO-H2O,0.586155674,71.6,7.84,13.76,7.092,72.9,-7.71,2.16169,-1.160699526,50
MoPy-DO-NH3,0.047916641,71.6,9.64,13.76,7.092,72.9,-7.71,2.15746,-1.160699526,50
RuPy-DO-H2O,0.014233478,100.52,7.84,13.76,7.361,63.9,-6.14,2.13255,-1.833961598,56
RuPy-DO-NH3,-0.902464362,100.52,9.64,13.76,7.361,63.9,-6.14,2.05334,-1.833961598,56
TaPy-DO-H2O,1.586850062,40.98,7.84,13.76,7.89,82,-13.88,2.13646,-1.774672365,48
TaPy-DO-NH3,0.506096243,40.98,9.64,13.76,7.89,82,-13.88,2.19667,-1.774672365,48
WPy-DO-H2O,1.116001677,58.08,7.84,13.76,7.98,77.6,-9.64,2.1578,-1.54002014,51
WPy-DO-NH3,0.21221009,58.08,9.64,13.76,7.98,77.6,-9.64,2.14461,-1.54002014,51
RePy-DO-H2O,0.820257909,70.3,7.84,13.76,7.88,73.9,-8.93,2.10703,-1.911466363,54
RePy-DO-NH3,0.04154547,70.3,9.64,13.76,7.88,73.9,-8.93,2.10075,-1.911466363,54
OsPy-DO-H2O,0.391585386,86.16,7.84,13.76,8.71,70.6,-6.21,2.51104,-1.656394916,57
OsPy-DO-NH3,-0.931150939,86.16,9.64,13.76,8.71,70.6,-6.21,2.05721,-1.656394916,57
ScPy-DF-H2O,0.7879629,13.52,7.84,15.92,6.562,59.2,-10.45,2.1386,-1.562435329,11
ScPy-DF-NH3,-0.334475567,13.52,9.64,15.92,6.562,59.2,-10.45,2.23436,-1.562435329,11
TiPy-DF-H2O,0.915637019,27.4,7.84,15.92,6.828,52.8,-11.39,2.09798,-0.89648613,43
TiPy-DF-NH3,-0.098833138,27.4,9.64,15.92,6.828,52.8,-11.39,2.14385,-0.89648613,43
VPy-DF-H2O,0.300774001,41.37,7.84,15.92,6.746,47.9,-8.15,2.09029,-0.632543559,46
VPy-DF-NH3,-0.464099867,41.37,9.64,15.92,6.746,47.9,-8.15,2.10314,-0.632543559,46
CrPy-DF-H2O,-0.143192073,69.1,7.84,15.92,6.767,45.5,-6.26,2.34717,-0.385113312,49
CrPy-DF-NH3,-0.626347913,69.1,9.64,15.92,6.767,45.5,-6.26,2.14309,-0.385113312,49
FePy-DF-H2O,-0.649734993,83.94,7.84,15.92,7.903,38.2,-6.45,2.24851,-1.840227034,55
FePy-DF-NH3,-1.597536078,83.94,9.64,15.92,7.903,38.2,-6.45,2.17324,-1.840227034,55
MoPy-DF-H2O,0.456062867,71.6,7.84,15.92,7.092,72.9,-7.71,2.15845,-0.742827534,50
MoPy-DF-NH3,-0.434505625,71.6,9.64,15.92,7.092,72.9,-7.71,2.15711,-0.742827534,50
RuPy-DF-H2O,-0.235271698,100.52,7.84,15.92,7.361,63.9,-6.14,2.11091,-1.532788747,56
RuPy-DF-NH3,-1.129112028,100.52,9.64,15.92,7.361,63.9,-6.14,2.05533,-1.532788747,56
TaPy-DF-H2O,1.407863217,40.98,7.84,15.92,7.89,82,-13.88,2.13865,-1.626329475,48
TaPy-DF-NH3,0.368879988,40.98,9.64,15.92,7.89,82,-13.88,2.19454,-1.626329475,48
WPy-DF-H2O,0.803357191,58.08,7.84,15.92,7.98,77.6,-9.64,2.13094,-1.294822758,51
WPy-DF-NH3,-0.000639356,58.08,9.64,15.92,7.98,77.6,-9.64,2.14508,-1.294822758,51
RePy-DF-H2O,0.407851384,70.3,7.84,15.92,7.88,73.9,-8.93,2.53875,-1.802336923,54
RePy-DF-NH3,-0.186573788,70.3,9.64,15.92,7.88,73.9,-8.93,2.10077,-1.802336923,54
OsPy-DF-H2O,0.088171258,86.16,7.84,15.92,8.71,70.6,-6.21,2.48488,-1.574372406,57
OsPy-DF-NH3,-0.822598042,86.16,9.64,15.92,8.71,70.6,-6.21,2.05891,-1.574372406,57
